kata,arti,kelas_kata
acara pokok,"acara atau kegiatan yang menjadi fokus dari seluruh rangkaian acara, acara utama",
acara rapat,hal yang akan dibicarakan dalam rapat,
acara surat,pokok isi surat,
acara tugas,daftar tugas yang disimpan oleh redaktur,
acara tugas,-,-
acara utama,acara pokok,
acaraki,-,-
acaram,-,-
acarya,-,-
acat,-,-
acatan,-,-
acau,-,-
acawi,-,-
acc,-,-
accelerando,-,-
accent aigu,-,-
accent circonflêxe,-,-
accent grave,-,-
accoord,-,-
ace,-,-
aceh,-,-
Aceh Barat,"kabupaten di Provinsi Aceh, ibu kotanya Meulaboh",
Aceh Barat Daya,"kabupaten di Provinsi Aceh, ibu kotanya Blang Pidie",
Aceh Besar,"kabupaten di Provinsi Aceh, ibu kotanya Jantho",
Aceh Jaya,"kabupaten di Provinsi Aceh, ibu kotanya Calang",
Aceh Selatan,"kabupaten di Provinsi Aceh, ibu kotanya Tapaktuan",
Aceh Singkil,"kabupaten di Provinsi Aceh, ibu kotanya Singkil",
Aceh Tamiang,"kabupaten di Provinsi Aceh, ibu kotanya Kuala Simpang",
Aceh Tengah,"kabupaten di Provinsi Aceh, ibu kotanya Takengon",
Aceh Tenggara,"kabupaten di Provinsi Aceh, ibu kotanya Kuta Cane",
Aceh Timur,"kabupaten di Provinsi Aceh, ibu kotanya Idi Rayeuk",
Aceh Utara,"kabupaten di Provinsi Aceh, ibu kotanya Lhoksukon",
acekarom,-,-
aceng,-,-
acerang,-,-
aci,-,-
aci sagu,pati sagu,
aci-aci,-,-
aci-aci kalimat,pola kalimat,
aci-acian,-,-
aci-acinya,-,-
acian,-,-
acik,-,-
acingara,-,-
acintia,-,-
aco,-,-
aco-acoan,-,-
acoan,-,-
acok,-,-
acop,-,-
acth,-,-
actus reus,-,-
acu,-,-
acuan,-,-
acuan butik,cetakan kue berukuran kecil,
acuan cetak,-,-
acuan kertas,-,-
acuan sepatu,alat untuk mengukur bentuk sepatu,
acuci,-,-
acuh,-,-
acuh tak acuh,"tidak menaruh perhatian, tidak mau tahu",
acuhan,-,-
acum,-,-
acuman,-,-
acung,-,-
acungan,-,-
ad,-,-
ad absurdum,-,-
ad hoc,-,-
ad infinitum,-,-
ad interim,-,-
ad libitum,-,-
ad maiorem dei gloriam,-,-
ad nauseam,-,-
ad perpetuam rei memoriam,-,-
ad referendum,-,-
ad rem,-,-
ad-daulah al-islāmiyyah,-,-
ad-duha,-,-
ada,-,-
"ada adat dan lembaganya, ada undang dan laksananya",segala sesuatu itu ada hukum dan aturannya,
ada air ada ikan,"di mana pun kita berada, niscaya ada rezeki",
ada angin baik,ada harapan,
"ada angin, ada pohonnya (hujan berpohon, panas berasal)",segala hal ada asal mulanya (sebab-sebabnya),
"ada bangkai, ada hering","jika ada perempuan lacur, banyak laki-laki yang datang",
ada batang cendawan tumbuh,"di mana pun kita berada, niscaya ada rezeki",
"ada bau, ada bangkainya",berita yang tidak baik itu biasanya selalu ada sumbernya,
ada berair juga rupanya,berhasil juga rupanya,
"ada beras, taruh dalam padi",rahasia hendaklah disimpan baik-baik,
"ada biduk, serempu pula","tidak pernah merasa puas, selalu menginginkan yang lain",
"ada biduk, serempu pula",tidak puas dengan apa yang ada,
ada bunga ada lebah,tempat yang mendatangkan rezeki pasti akan didatangi banyak orang,
"ada gula, ada semut",di mana banyak kesenangan di situlah banyak orang datang,
"ada gula, ada semut",di mana banyak kesenangan di situlah banyak orang datang,
"ada hari, ada nasi","asal masih hidup, selalu akan beroleh rezeki",
"ada hujan ada panas, ada hari boleh balas",selalu ada kesempatan untuk membalas dendam,
ada jarum hendaklah ada benangnya,segala sesuatu ada pasangannya,
ada kalanya,→ adakalanya,
"ada kepala tidak mematuk, ada buntut tidak melilit","memiliki kemampuan serta kesempatan untuk melakukan sesuatu yang baik dan berguna, tetapi tidak disertai tekad atau kemauan",
ada main,-,-
ada nasi di balik kerak,"satu masalah belum selesai, datang masalah lain",
"ada nyawa (umur), ada rezeki",selama masih hidup kita tentu masih sanggup berusaha,
"ada nyawa, ada ikan","masih hidup, tetapi sudah hampir mati (dalam keadaan hampir mati)",
"ada nyawa, ada rezeki",selama masih hidup selama itu pula selalu mendapat penghidupan,
"ada nyawa, nyawa ikan","masih hidup, tetapi sudah hampir mati (dalam keadaan hampir mati)",
"ada padi, segala menjadi",orang kaya dapat mencapai apa yang diinginkannya,
ada perahu mau berenang,"ada cara yang lebih mudah, tetapi memilih yang sulit",
"ada rotan, ada duri",dalam kesenangan tentu ada kesusahannya,
"ada rupa, ada harga",harga barang ditentukan oleh keadaan barang,
"ada sama dimakan, tidak ada sama dicari",bersama dalam suka dan duka,
"ada sampan, hendak berenang",sengaja berpayah-payah padahal sebenarnya tidak perlu berbuat begitu,
ada seperti tampaknya apung-apung,menginginkan barang yang sulit didapat meskipun belum tentu bisa digunakan,
ada sirih hendak makan sepah,lebih memilih yang buruk padahal ada yang lebih baik,
ada tugal ada benih,"jika tidak ada usaha, tidak akan ada bantuan",
"ada uang abang (di)sayang, tak ada uang abang melayang",hanya senang ketika pasangan mempunyai uang atau harta,
"ada uang, ada barang",jika sanggup membayar banyak akan mendapat barang yang lebih baik,
"ada ubi ada talas, ada budi ada balas","kejahatan dibalas dengan kejahatan, kebaikan dibalas dengan kebaikan, barang siapa yang berbuat sesuatu tentu akan mendapat balasan yang setimpal",
ada udang (berudang) di balik batu,ada suatu maksud yang tersembunyi,
ada udang di balik batu,memiliki keinginan atau maksud terselubung,
ada-ada,-,-
ada-ada saja,-,-
ada-adanya,-,-
ada-adanyakah,-,-
adab,-,-
adabiah,-,-
adaci,-,-
adad,-,-
adagio,-,-
adagium,-,-
adah,-,-
adaini,-,-
adak,-,-
adakah,-,-
adakah buaya menolak bangkai?,orang jahat akan berbuat jahat kalau ada kesempatan,
adakah kayu di rimba sama tinggi,"ada yang pandai, ada yang bodoh, ada yang miskin, ada yang kaya",
adakala,-,-
adakalanya,-,-
adakan,-,-
adaks,-,-
adaksial,-,-
adaktil,-,-
adalabang,-,-
adalah,-,-
adalapur,-,-
adalat,-,-
adam,-,-
adamat,-,-
adamu,-,-
adan,-,-
adang,-,-
adang-adang,-,-
adangiyah,-,-
adanya,-,-
adap-adapan,-,-
adaptabel,-,-
adaptabilitas,-,-
adaptasi,-,-
adaptasi cagar budaya,-,-
adaptasi cahaya,-,-
adaptasi kebudayaan,perubahan dalam unsur kebudayaan yang menyebabkan unsur itu dapat berfungsi lebih baik bagi manusia yang mendukungnya,
adaptasi sosial,perubahan yang mengakibatkan seseorang dalam suatu kelompok sosial dapat hidup dan berfungsi lebih baik dalam lingkungannya,
adapter,-,-
adaptif,-,-
adaptogen,-,-
adaptometer,-,-
adaptor,-,-
adapun,-,-
adapun kata ada pangkalnya,segala sesuatu pasti memiliki asal-usul,
"adapun manikam itu jika dijatuhkan ke dalam limbahan sekalipun, niscaya tidak hilang cahayanya","orang yang asalnya baik jika ia miskin ataupun menjadi suruhan orang, tabiatnya, kelakuannya, dan budi bahasanya tetap baik",
adapus,-,-
adar,-,-
adargom,-,-
adarusa,-,-
adas,-,-
adas bintang,bunga lawang,
adas manis,"tanaman palawija yang buahnya dipakai sebagai obat, rasa dan baunya sedap",
adas sowa,"tanaman tahunan yang beraroma menyerupai peterseli, tingginya dapat mencapai 1—2 m, daunnya berbentuk runcing, biasa digunakan utuh atau dicincang untuk ditaburkan pada hidangan",
adat,-,-
"adat air cair, adat api panas",segala sesuatu memiliki ciri dan kelebihan sesuai dengan kodratnya,
"adat bak poteumeureuhom, hukom bak syiah kuala, qanun bank putro phang, reusam bak laksamana",-,-
Adat Belalau,salah satu kelompok adat di suku Lampung,
adat bercakap berelok-elok,hendaklah berbicara dengan baik dan sopan,
"adat bersendi syarak, syarak bersendi kitabullah",pekerjaan (perbuatan) hendaklah selalu mengingat aturan adat dan agama (jangan bertentangan satu dengan yang lain),
adat bilokal,-,-
adat dagang tahan tawar,sudah biasa bahwa barang dagangan boleh ditawar,
"adat diisi, janji dilabuh","adat harus dijalankan, persetujuan harus ditepati",
"adat diisi, lembaga dituang",melakukan sesuatu menurut adat kebiasaan,
"adat diisi, lembaga dituang",hendaklah segala sesuatu dilakukan menurut kebiasaan,
"adat dunia balas-membalas, syariat palu-memalu",anjuran untuk membalas kebaikan dengan kebaikan dan saling tolong-menolong,
adat fodidi,-,-
"adat gunung tempatan kabut, adat teluk timbunan kapal (kapar)",biasanya orang yang berpengaruh (berkuasa dan sebagainya) menjadi tempat orang meminta pertolongan (untuk menyelesaikan perkara dan sebagainya),
"adat hidup tolong-menolong, syariat palu-memalu","dalam kehidupan sehari-hari harus saling menolong, dalam agama saling membantu",
adat huma,hukum adat mengenai masalah agraris,
adat istiadat,tata kelakuan yang kekal dan turun-temurun dari generasi satu ke generasi lain sebagai warisan sehingga kuat integrasinya dengan pola perilaku masyarakat,
adat kakurung ku iga,-,-
adat kemenakan,"ahli waris berdasarkan keturunan pihak ibu, adat matrilineal",
adat lama pusaka usang,adat yang turun-temurun,
adat matrilineal,adat kemenakan,
adat matrilokal,"pola menetap setelah menikah, suami istri tinggal di sekitar pusat kediaman kerabat istri",
adat neolokal,"pola menetap setelah menikah, suami istri memilih tempat di luar pusat kediaman kerabat suami atau kerabat istri",
Adat Ogan,salah satu kelompok adat di suku Lampung,
adat pasang berturun naik,"keadaan yang selalu berubah-ubah, terutama tentang kekayaan atau kedudukan seseorang",
adat patrilokal,"pola menetap setelah menikah, suami istri harus tinggal di sekitar pusat kediaman kerabat suami",
Adat Pegagan,salah satu kelompok adat di suku Lampung,
adat pemaduan,denda adat yang harus dibayar oleh suami apabila mengambil istri kedua,
adat pemali,denda adat yang harus dibayar karena melanggar pantangan,
adat pembakaran jenazah,adat perawatan jenazah dengan cara membakar jenazah itu,
adat pembiaran jenazah,adat perawatan jenazah dengan cara membiarkan jenazah itu di suatu tempat terpencil agar hancur sendiri di alam terbuka,
adat pembuang,denda adat yang harus dibayar pada waktu terjadi perceraian,
Adat Peminggir,"salah satu kelompok adat di suku Lampung, Pubiyan",
Adat Pepadun,salah satu kelompok adat di suku Lampung,
"adat periuk berkerak, adat lesung berdedak","jika seseorang ingin beroleh keuntungan dalam suatu pekerjaan, hendaklah ia dapat menanggung kesusahan",
Adat Ranau,salah satu kelompok adat di suku Lampung,
Adat Semende,"salah satu kelompok adat di suku Lampung, Adat Semendo",
Adat Semendo,Adat Semende,
adat semula jadi,"adat yang asli dan belum berubah, adat sebenar adat",
"adat sepanjang jalan, cupak sepanjang betung",segala sesuatu ada tata caranya,
adati,-,-
adati balano,-,-
adatuang,-,-
adau,-,-
adbukin,-,-
ade,-,-
adeabiasang,-,-
adeg,-,-
adegan,-,-
adegan dugong,-,-
adegan kecil,-,-
adegan keributan,-,-
adegan panas,adegan yang membangkitkan rangsangan berahi,
adegan pastoral,-,-
adegan pengikat,-,-
adegan penyambung,-,-
adegan ranjang,"adegan yang menampilkan aktivitas seksual, lazimnya dilakukan di atas tempat tidur",
adegan seks,adegan yang menampilkan aktivitas seksual,
adegan simpulan,-,-
adegan syur,"adegan yang menampilkan aktivitas seksual yang dapat membangkitkan berahi, adegan panas",
adegan terbuka,-,-
adegan wajib,-,-
adeh,-,-
adei,-,-
a.dek,→ adik,
adekuat,-,-
adelfogami,-,-
adelfoparasit,-,-
adelo,-,-
adem,-,-
adem ati,-,-
adem ayem,sejuk dan tenang tenteram,
ademaraja,-,-
adempauze,-,-
adena,-,-
a.den.da,→ adendum,
adendum,-,-
a.de.nin,→ adenina,
adenina,-,-
adenium,-,-
adenoblas,-,-
adenoid,-,-
adenokarsinoma,-,-
adenoma,-,-
adenopati,-,-
adenosina,-,-
adenosina difosfat,-,-
adenosina trifosfat,-,-
adenosis,-,-
adenosit,-,-
adenovirus,-,-
adep-adep,-,-
aderang,-,-
adermatoglifia,-,-
a.de.si,→ adhesi,
"adeste, fideles",-,-
adfluvial,-,-
adh,-,-
a.dhan,→ azan,
adhesi,-,-
adhesif,-,-
adi,-,-
adi-,-,-
adi-adi,-,-
adi-buddha,-,-
adiabat,-,-
adiabatik,-,-
adiafanus,-,-
adiafora,-,-
adiaksa,-,-
adiaktinik,-,-
adiarus,-,-
adib,-,-
adibahasa,-,-
adibangkit,-,-
adibasa,-,-
adibibit,-,-
adibintang,-,-
adiboga,-,-
adibusana,-,-
adicita,-,-
adidaya,-,-
adidi,-,-
adidingin,-,-
adigang,-,-
adiguna,-,-
adigung,-,-
adihablur,-,-
adihantar,-,-
adijana,-,-
adijenuh,-,-
adik,-,-
adik bungsu,adik yang termuda,
adik ipar,adik suami atau adik istri,
adik kakak,saudara kakak beradik,
adik kandung,adik seibu seayah,
adik kelas,siswa yang tingkatannya lebih rendah,
adik seayah,"adik dari satu ayah, adik berlainan ibu",
adik seibu,"adik dari satu ibu, adik berlainan ayah",
adik seibu seayah,adik kandung,
adik sepupu,"anak adik atau kakak ayah atau ibu, sebagai saudara yang lebih muda (laki-laki atau perempuan)",
adik tingkat,mahasiswa yang tingkatannya lebih rendah,
adik tiri,"adik seibu, tetapi lain ayah atau adik seayah, tetapi lain ibu",
adik-beradik,-,-
adika,-,-
a.dik.an.da,→ adinda,
adikara,-,-
adikarya,-,-
adikekisi,-,-
adikodrati,-,-
adikong,-,-
adiksi,-,-
adiksi seksual,ketagihan (kecanduan) seksual,
adiksimba,-,-
adiktif,-,-
adikuasa,-,-
adil,-,-
adilaga,-,-
adiluhung,-,-
adimanusia,-,-
adimarga,-,-
adimas,-,-
adinamia,-,-
adinda,-,-
ading,-,-
adinnadana veramani sikkhapadam samadiyami,-,-
adion,-,-
adios,-,-
adiparwa,-,-
adipati,-,-
adipatni,-,-
adipektomi,-,-
adipenghantar,-,-
adiperagawan,-,-
adiposa,-,-
adiposit,-,-
adipositas,-,-
adipsia,-,-
adipuisi,-,-
adipura,-,-
adipurna,-,-
adiraja,-,-
adiratna,-,-
adisatria,-,-
adiseni,-,-
adisi,-,-
adisional,-,-
adisiswa,-,-
adit,-,-
aditama,-,-
aditi,-,-
aditif,-,-
aditokoh,-,-
a.di.to.ri.um,→ auditorium,
aditya,-,-
adityawarman,-,-
adiwacana,-,-
adiwangsa,-,-
adiwarna,-,-
adiwastra,-,-
adiwicara,-,-
adiwidia,-,-
adiwira,-,-
adiwiyata,-,-
adiyuga,-,-
adiyuswa,-,-
ad.jek.tif,→ adjektiva,
adjektiva,-,-
adjektival,-,-
adjudikasi,-,-
adjuster,-,-
adjuvan,-,-
adlib,-,-
adm.,-,-
admin,-,-
administrasi,-,-
administrasi arsip,"pengumpulan, pengawetan, dan pengaturan bahan arsip untuk dapat digunakan, serta kajian teori dan praktik mengenai tata cara itu",
administrasi kearsipan,manajemen perlengkapan arsip,
administrasi kependudukan,penataan dan penertiban dokumen dan data kependudukan serta pendayagunaan hasilnya untuk pelayanan publik dan pembangunan sektor lain,
administrasi perpustakaan,kegiatan pelengkap yang berkaitan dengan rencana memajukan dan mengembangkan perpustakaan,
administrasi program,"beraneka tugas administrasi yang sangat diperlukan untuk memelihara program asuransi, misalnya program pensiun",
administratif,-,-
administrator,-,-
administrator pangkalan data,-,-
ad.mi.nis.tra.tur,→ administrator,
admiral,-,-
admisi,-,-
admitans,-,-
adnan,-,-
adnasal,-,-
adneksitis,-,-
adnominal,-,-
ado,-,-
adobe,-,-
adodui,-,-
adok,-,-
adolesens,-,-
adolu,-,-
adon,-,-
adonan,-,-
adonan asam,"adonan yang difermentasikan untuk menciptakan ragi alami di dalamnya, biasanya digunakan sebagai biang roti",
adong,-,-
adopsi,-,-
adopsi antarnegara,-,-
adopsi ilegal,-,-
adopsian,-,-
adoptif,-,-
adora,-,-
adoral,-,-
adorasi,-,-
adp,-,-
adpel,-,-
ad.per.ten.si,→ advertensi,
adpi,-,-
ad.pis,→ advis,
ad.po.kat,→ alpukat,
adposisi,-,-
adrenal,-,-
adrenalektomi,-,-
adrenalin,-,-
adrenalina,-,-
adrenergik,-,-
adreng,-,-
adrenokortikal,-,-
adrenoreseptor,-,-
adres,-,-
adri,-,-
adsorbat,-,-
adsorben,-,-
adsorpsi,-,-
adsorpsi dalam tanah,"adhesi molekul yang tidak sejenis (misalnya, dari ion K dan Ca) atau molekul lain ke permukaan partikel tanah",
adsorpsi isoterm,-,-
adsorptif,-,-
adstratum,-,-
ad.strin.gen,→ astringen,
adu,-,-
adu bagong,-,-
adu banteng,"olahraga menaklukkan, melumpuhkan, atau membunuh banteng sebagai tontonan umum di arena luar ruangan",
adu banteng,-,-
adu cepat,perlombaan atau pertandingan untuk menentukan yang tercepat,
adu domba,-,-
adu jangkrik,mengadu jangkrik,
adu jotos,beradu jotos,
adu kambing,-,-
adu kekuatan,mengadu kekuatan untuk menentukan yang terkuat,
adu lari,"pertandingan atau perlombaan lari, biasanya dihitung dari kecepatan, jarak, dan sebagainya",
adu lengan,-,-
adu mulut,"beradu mulut, cekcok",
adu nasib,-,-
adu pagar,dua desa yang letaknya berbatasan satu sama lain,
adu pandang,salah satu teknik yang digunakan dalam hipnosis dengan mengadu kekuatan antara penghipnosis dan yang dihipnosis,
adu pangul,-,-
adu penalti,penentuan pemenang dengan cara mengadu tembakan ke gawang lawan,
adu untung,-,-
adu-adu,-,-
aduan,-,-
